"","order_id","order_date","ship_mode","segment","country","city","state","postal_code","region","category","sub_category","product_id","cost_price","list_price","quantity","discount_percent","discount","sale_price","profit"
"2",2,"2023-08-15","Second Class","Consumer","United States","Henderson","Kentucky",42420,"South","Furniture","Chairs","FUR-CH-10000454",600,730,3,3,21.9,708.1,108.1
"3",3,"2023-01-10","Second Class","Corporate","United States","Los Angeles","California",90036,"West","Office Supplies","Labels","OFF-LA-10000240",10,10,2,5,0.5,9.5,-0.5
"4",4,"2022-06-18","Standard Class","Consumer","United States","Fort Lauderdale","Florida",33311,"South","Furniture","Tables","FUR-TA-10000577",780,960,5,2,19.2,940.8,160.8
"5",5,"2022-07-13","Standard Class","Consumer","United States","Fort Lauderdale","Florida",33311,"South","Office Supplies","Storage","OFF-ST-10000760",20,20,2,5,1,19,-1
"6",6,"2022-03-13","","Consumer","United States","Los Angeles","California",90032,"West","Furniture","Furnishings","FUR-FU-10001487",50,50,7,3,1.5,48.5,-1.5
"7",7,"2022-12-28","Standard Class","Consumer","United States","Los Angeles","California",90032,"West","Office Supplies","Art","OFF-AR-10002833",10,10,4,3,0.3,9.7,-0.3
"8",8,"2022-01-25","Standard Class","Consumer","United States","Los Angeles","California",90032,"West","Technology","Phones","TEC-PH-10002275",860,910,6,5,45.5,864.5,4.5
"9",9,"2023-03-23","","Consumer","United States","Los Angeles","California",90032,"West","Office Supplies","Binders","OFF-BI-10003910",20,20,3,2,0.4,19.6,-0.4
"10",10,"2023-05-16","Standard Class","Consumer","United States","Los Angeles","California",90032,"West","Office Supplies","Appliances","OFF-AP-10002892",90,110,5,3,3.3,106.7,16.7
"11",11,"2023-03-31","","Consumer","United States","Los Angeles","California",90032,"West","Furniture","Tables","FUR-TA-10001539",1470,1710,9,3,51.3,1658.7,188.7
"12",12,"2023-12-25","","Consumer","United States","Los Angeles","California",90032,"West","Technology","Phones","TEC-PH-10002033",750,910,4,3,27.3,882.7,132.7
"13",13,"2022-02-11","Standard Class","Consumer","United States","Concord","North Carolina",28027,"South","Office Supplies","Paper","OFF-PA-10002365",20,20,3,3,0.6,19.4,-0.6
"14",14,"2023-07-18","Standard Class","Consumer","United States","Seattle","Washington",98103,"West","Office Supplies","Binders","OFF-BI-10003656",360,410,3,2,8.2,401.8,41.8
